,player,nationality,position,squad,age,birth_year,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk,minutes_90s,free_kick_goals_against_gk,corner_kick_goals_against_gk,own_goals_against_gk,psxg_gk,psnpxg_per_shot_on_target_against,psxg_net_gk,psxg_net_per90_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,def_actions_outside_pen_area_per90_gk,avg_distance_def_actions_gk
10,Vid Belec,si SVN,GK,Salernitana,31-216,1990,17.0,17.0,1530.0,37.0,2.18,92.0,57.0,60.9,2.0,2.0,13.0,1.0,5.9,2.0,1.0,0.0,1.0,17.0,0.0,4.0,2.0,27.6,0.29,-7.4,-0.44,106.0,254.0,41.7,305.0,63.0,50.5,42.5,142.0,70.4,52.0,158.0,10.0,6.3,6.0,0.35,12.9
11,Walter Benítez,ar ARG,GK,Nice,28-295,1993,19.0,19.0,1710.0,17.0,0.89,67.0,52.0,77.6,10.0,4.0,5.0,6.0,31.6,2.0,2.0,0.0,0.0,19.0,0.0,1.0,0.0,19.3,0.26,2.3,0.12,78.0,206.0,37.9,344.0,74.0,36.6,34.0,126.0,63.5,48.1,143.0,8.0,5.6,13.0,0.68,14.9
12,Paul Bernardoni,fr FRA,GK,Angers,24-265,1997,13.0,13.0,1170.0,19.0,1.46,43.0,27.0,62.8,4.0,5.0,4.0,4.0,30.8,3.0,3.0,0.0,0.0,13.0,2.0,6.0,0.0,14.6,0.29,-4.4,-0.34,55.0,122.0,45.1,239.0,82.0,32.6,35.2,98.0,44.9,40.5,134.0,17.0,12.7,7.0,0.54,14.5
13,Dimitry Bertaud,fr FRA,GK,Montpellier,23-216,1998,5.0,5.0,450.0,9.0,1.8,26.0,18.0,65.4,2.0,1.0,2.0,1.0,20.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,1.0,7.7,0.3,-0.3,-0.06,44.0,91.0,48.4,121.0,27.0,52.1,40.0,48.0,58.3,45.5,46.0,7.0,15.2,0.0,0.0,11.3
14,Marco Bizot,nl NED,GK,Brest,30-304,1991,19.0,19.0,1710.0,28.0,1.47,77.0,51.0,64.9,6.0,7.0,6.0,3.0,15.8,1.0,1.0,0.0,0.0,19.0,0.0,4.0,2.0,21.2,0.27,-4.8,-0.25,158.0,324.0,48.8,436.0,103.0,48.9,41.6,152.0,73.0,54.7,153.0,14.0,9.2,6.0,0.32,13.6
15,Yassine Bounou,ma MAR,GK,Sevilla,30-278,1991,17.0,17.0,1530.0,10.0,0.59,45.0,35.0,80.0,10.0,5.0,2.0,9.0,52.9,2.0,1.0,1.0,0.0,17.0,0.0,3.0,0.0,11.8,0.23,1.8,0.11,96.0,236.0,40.7,455.0,58.0,35.6,36.0,123.0,60.2,47.9,130.0,11.0,8.5,13.0,0.76,14.2
16,Claudio Bravo,cl CHI,GK,Betis,38-270,1983,7.0,7.0,630.0,11.0,1.57,28.0,19.0,60.7,4.0,1.0,2.0,1.0,14.3,0.0,0.0,0.0,0.0,7.0,0.0,1.0,2.0,11.3,0.4,2.3,0.32,50.0,125.0,40.0,181.0,22.0,54.7,45.3,42.0,61.9,50.3,77.0,2.0,2.6,2.0,0.29,12.4
17,Fabian Bredlow,de GER,GK,Stuttgart,26-312,1995,4.0,4.0,360.0,7.0,1.75,24.0,17.0,70.8,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,6.9,0.29,-0.1,-0.01,12.0,24.0,50.0,90.0,22.0,23.3,28.7,37.0,8.1,19.9,38.0,1.0,2.6,4.0,1.0,16.0
18,Sascha Burchert,de GER,GK,Greuther Fürth,32-070,1989,9.0,9.0,810.0,19.0,2.11,49.0,33.0,65.3,1.0,2.0,6.0,2.0,22.2,2.0,2.0,0.0,0.0,9.0,0.0,3.0,2.0,15.6,0.29,-1.4,-0.15,85.0,223.0,38.1,269.0,27.0,59.9,46.5,72.0,86.1,59.5,98.0,5.0,5.1,13.0,1.44,16.8
19,Jack Butland,eng ENG,GK,Crystal Palace,28-304,1993,2.0,2.0,180.0,5.0,2.5,10.0,5.0,50.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,3.6,0.36,-1.4,-0.68,7.0,31.0,22.6,57.0,8.0,36.8,31.9,21.0,47.6,40.8,19.0,0.0,0.0,1.0,0.5,13.6
20,Willy Caballero,ar ARG,GK,Southampton,40-102,1981,2.0,2.0,180.0,5.0,2.5,11.0,6.0,54.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,4.3,0.4,-0.7,-0.36,20.0,39.0,51.3,46.0,0.0,58.7,42.1,13.0,92.3,59.1,21.0,1.0,4.8,4.0,2.0,22.1
21,Marc-Aurèle Caillard,fr FRA,GK,Metz,27-241,1994,3.0,2.0,183.0,3.0,1.48,12.0,9.0,75.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,3.2,0.28,0.2,0.12,13.0,39.0,33.3,29.0,8.0,65.5,49.4,20.0,100.0,70.1,22.0,0.0,0.0,1.0,0.49,14.5
22,Cárdenas,es ESP,GK,Levante,24-286,1997,9.0,9.0,810.0,17.0,1.89,34.0,19.0,55.9,0.0,3.0,6.0,2.0,22.2,2.0,2.0,0.0,0.0,9.0,0.0,2.0,0.0,12.6,0.32,-4.4,-0.49,50.0,132.0,37.9,217.0,38.0,46.1,39.1,65.0,49.2,40.9,74.0,3.0,4.1,7.0,0.78,14.3
23,Kiko Casilla,es ESP,GK,Elche,35-098,1986,12.0,12.0,1080.0,15.0,1.25,54.0,39.0,72.2,2.0,4.0,6.0,3.0,25.0,0.0,0.0,0.0,0.0,12.0,0.0,1.0,0.0,13.7,0.25,-1.3,-0.11,79.0,218.0,36.2,288.0,62.0,52.1,41.7,119.0,57.1,44.2,121.0,7.0,5.8,10.0,0.83,15.5
24,Koen Casteels,be BEL,GK,Wolfsburg,29-197,1992,15.0,15.0,1350.0,23.0,1.53,54.0,33.0,61.1,6.0,2.0,7.0,5.0,33.3,5.0,2.0,2.0,1.0,15.0,0.0,2.0,0.0,22.0,0.37,-1.0,-0.06,109.0,215.0,50.7,483.0,67.0,33.7,33.9,105.0,49.5,42.0,123.0,8.0,6.5,16.0,1.07,15.3
25,Leonardo César Jardim,br BRA,GK,Lille,26-294,1995,2.0,2.0,180.0,7.0,3.5,11.0,4.0,45.5,0.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,0.0,2.0,0.0,4.1,0.35,-2.9,-1.46,6.0,13.0,46.2,42.0,14.0,28.6,30.7,10.0,10.0,30.0,10.0,0.0,0.0,3.0,1.5,17.9
26,Jasper Cillessen,nl NED,GK,Valencia,32-261,1989,13.0,13.0,1170.0,21.0,1.62,56.0,36.0,67.9,4.0,6.0,3.0,3.0,23.1,4.0,3.0,1.0,0.0,13.0,0.0,4.0,1.0,22.3,0.36,2.3,0.18,96.0,225.0,42.7,282.0,52.0,57.4,46.4,84.0,75.0,58.0,101.0,6.0,5.9,6.0,0.46,15.2
27,Andrea Consigli,it ITA,GK,Sassuolo,34-346,1987,19.0,19.0,1710.0,29.0,1.53,62.0,38.0,59.7,6.0,7.0,6.0,2.0,10.5,4.0,4.0,0.0,0.0,19.0,0.0,3.0,1.0,24.6,0.34,-3.4,-0.18,139.0,272.0,51.1,644.0,79.0,35.6,33.4,123.0,35.0,31.2,154.0,13.0,8.4,9.0,0.47,12.6
28,Benoît Costil,fr FRA,GK,Bordeaux,34-189,1987,20.0,20.0,1800.0,44.0,2.2,102.0,63.0,61.8,3.0,8.0,9.0,0.0,0.0,5.0,5.0,0.0,0.0,20.0,0.0,5.0,0.0,35.1,0.3,-8.9,-0.44,176.0,394.0,44.7,553.0,63.0,49.0,40.4,167.0,73.7,53.4,154.0,12.0,7.8,18.0,0.9,16.2
29,Thibaut Courtois,be BEL,GK,Real Madrid,29-242,1992,20.0,20.0,1800.0,17.0,0.85,65.0,49.0,75.4,14.0,4.0,2.0,7.0,35.0,1.0,1.0,0.0,0.0,20.0,0.0,1.0,0.0,17.1,0.25,0.1,0.0,71.0,197.0,36.0,534.0,107.0,26.6,32.5,117.0,47.0,40.8,184.0,19.0,10.3,14.0,0.7,14.7
30,Alessio Cragno,it ITA,GK,Cagliari,27-194,1994,18.0,18.0,1620.0,37.0,2.06,86.0,52.0,60.5,2.0,6.0,10.0,0.0,0.0,4.0,3.0,1.0,0.0,18.0,3.0,7.0,1.0,32.7,0.34,-3.3,-0.18,142.0,356.0,39.9,448.0,55.0,53.6,41.9,159.0,73.0,52.0,169.0,12.0,7.1,11.0,0.61,15.0
31,Karl Darlow,eng ENG,GK,Newcastle Utd,31-092,1990,8.0,8.0,720.0,15.0,1.87,37.0,25.0,64.9,0.0,5.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,8.0,0.0,1.0,1.0,10.6,0.24,-3.4,-0.42,75.0,172.0,43.6,189.0,29.0,64.6,49.8,64.0,78.1,59.8,69.0,8.0,11.6,4.0,0.5,14.9
32,Arthur Desmas,fr FRA,GK,Clermont Foot,27-276,1994,13.0,13.0,1170.0,26.0,2.0,53.0,30.0,54.7,3.0,4.0,6.0,3.0,23.1,2.0,2.0,0.0,0.0,13.0,0.0,4.0,1.0,18.1,0.32,-6.9,-0.53,37.0,137.0,27.0,267.0,49.0,33.3,34.6,101.0,47.5,38.1,85.0,3.0,3.5,5.0,0.38,12.4
